26/10/2019 11:49:02;;;;controllare regime fiscale fatture attive ditta
26/10/2019 11:49:07;;;;controllare provincia registro imprese ditta
26/10/2019 11:49:09;;;;controllare codice iso valuta
26/10/2019 11:49:10;;;;progressivo 36 non inviato
